AmA Bistro,Perfect Burger,"Cheese, lettuce, tomatoes, pickles, and onions."
AmA Bistro,L.A. Burger,"Avocado, Monterey jack, tomatoes, and lettuce."
AmA Bistro,Taco Burger,"Cheddar cheese, avocado, salsa, crunchy chips, and whole grain buns."
AmA Bistro,Pug Burger,"Bacon, avocado, lettuce and onion, and bleu cheese."
AmA Bistro,Greek Turkey Burger,"Yogurt sauce, cucumber slices, and baby spinach leaves."
AmA Bistro,Chicken Caesar Wrap,"Lettuce, Parmesan cheese, and chicken."
AmA Bistro,Turkey Avocado on Spinach Wrap,"Lettuce, chipotle sauce, and cheddar cheese."
AmA Bistro,Fresh Veggies and Hummus Wrap,"Tomatoes, red onions, cucumbers, red and green peppers. Vegetarian options."
AmA Bistro,Traditional Fish &amp; Chips,"Hand deep fresh cod fish, and served with french fries."
AmA Bistro,Seafood Risotto,"Mixture of rice with shrimps, salmon, scallops, cherry tomatoes, olive oil, peas, parsley leaves, garlic, and Parmesan cheese."
AmA Bistro,Fish Fillet,"Salmon fillet topped with mushrooms, capers, pecans, seared with heavy cream, served with your choice of potatoes, rice, or salad."
AmA Bistro,Fish Taco Bowl,"Chili powder, cumin, cayenne pepper, garlic, onion, bell pepper, corn, black beans, and brown rice."
AmA Bistro,Chicken Strips Dinner,"Served with your choice of potatoes, rice, salad or cup of fruit."
AmA Bistro,NY Strip Steak 10 oz.,"Served with your choice of potatoes, rice, or salad."
AmA Bistro,Baked Furghessa on Clay,"Mixture of green peppers, tomatoes, ricotta cheese, and beef with spices, served with potatoes or rice. Vegetarian options."
AmA Bistro,Khima,"Seasoned beef stew mixed with onions, and tomatoes, served on top of rice or polenta, and a scoop of fresh plain yogurt."
AmA Bistro,Bhurani,"Mixture of spinach, green onions, rice, and spices, served with your choice ofpotatoes or polenta, and a scoop of fresh plain yogurt. Vegetarian options."
AmA Bistro,Mac &amp; Cheese,Macaroni pasta in a cheese sauce.
AmA Bistro,Chicken Alfredo,Flat thick pasta.
AmA Bistro,Penne Alla Vodka,"Tomatoes and heavy cream sauce, vodka, bacon bits, and green onions."
AmA Bistro,Penne Pesto,Narrow tube shaped pasta.
AmA Bistro,Pasta Florentine,"Spinach, pecans, mushrooms, heavy cream sauce and Parmesan."
AmA Bistro,Spaghetti With Meatballs,Long thing pasta.
AmA Bistro,Spaghetti Carbonara,"Egg yolk base sauce, bacon bits, olive oil and garlic."
AmA Bistro,Chicken Cobb Salad,"Grilled chicken, mixed greens, cherry tomatoes, diced avocado, green onions, crumbled bacon, bleu cheese, recommended with Italian dressing."
AmA Bistro,Chicken Caesar Salad,Lettuce and Parmesan.
AmA Bistro,Quinoa and Spinach Salad,"Red onions, olives, spinach, and cherry tomatoes. Add chicken or lamb or shrimp for an additional charge."
AmA Bistro,Greek Salad,"Tomatoes, onions, red and green bell peppers, Kalamata olives, chickpeas, Greek feta, extra virgin olive oil, and pita bread. Add chicken or lamb for an additional charge."
AmA Bistro,Tossed Salad,"Lettuce, tomatoes, cucumbers, bits of cheese and bacon."
AmA Bistro,Michigan Berry Salad,"Mixed greens, strawberries, blueberries, pecans, and goat cheese. Add chicken for an additional charge."
AmA Bistro,Gyro Bowl Salad,"Brown rice, lettuce, cucumbers, tomatoes, onions, topped with gyro meat, tzatziki sauce, and feta."
AmA Bistro,(New)Mediterranean Couscous Salad,"Couscous,tomatoes,red onions,bell peppers,cucumbers,fresh herbs and feta cheese all tossed together with homemade special dressing."
AmA Bistro,Ham,Cooked meat from the upper part of a pig's leg.
AmA Bistro,Bacon,Cured pork.
AmA Bistro,Sausage,Seasoned ground meat that has been wrapped in a casing.
AmA Bistro,Toast,"Hot, browned sliced bread."
AmA Bistro,English Muffin,Yeast leavened bread.
AmA Bistro,Bagel,Boiled and baked round bread roll.
AmA Bistro,Egg Whites,None
AmA Bistro,Fresh Fruit,None
AmA Bistro,Substitute Daily Fruit for Berries,None
AmA Bistro,Hash Browns,Fried shredded potatoes.
AmA Bistro,Polenta,None
AmA Bistro,Avocado,None
AmA Bistro,Oatmeal,Porridge made from oats.
AmA Bistro,Bagel with Cream Cheese,Boiled and baked round bread roll.
AmA Bistro,Wings,8 pieces.
AmA Bistro,Chicken Strips,4 pieces.
AmA Bistro,Hummus with Pita Bread,None
AmA Bistro,Sweet Potato Fries with Chipotle Sauce,None
AmA Bistro,Waffle French Fries,None
AmA Bistro,Cheese Sticks,6 pieces.
AmA Bistro,Small Greek Salad,None
AmA Bistro,Soup of the day,None
AmA Bistro,Traditional Mamas Breakfast,"2 eggs cooked to your desire, your choice of meat, served with toast and jelly, and your choice of homemade hash browns, or sliced tomatoes, or fresh fruit."
AmA Bistro,Big Breakfast,"3 eggs, 6 pieces meat, choice of 1 of the following hash browns with toast, 2 pancakes or 2 french toast."
AmA Bistro,Eggs Benedict and Smoked Salmon Breakfast,"Served on a locally baked whole grain bread with capers, red onions, poached eggs and topped with homemade hollandaise sauce, and your choice of homemade hash browns, sliced tomatoes or fresh fruit."
AmA Bistro,Eggs Benedict with Spinach Breakfast,"Poached eggs served on top of a locally baked whole grain bread, topped with homemade hollandaise sauce, and your choice of homemade hash browns, sliced tomatoes or fresh fruit. Add breakfast meat for an additional charge."
AmA Bistro,Corned Beef Hash Breakfast,"2 eggs served on top of homemade corned beef hash, and your choice of homemade hash browns, sliced tomatoes or fresh fruit with toast and jelly."
